Wavelength,Absorbance
nm, a.u.
558,0.259498
557,0.260303
556,0.260824
555,0.261297
554,0.261609
553,0.261673
552,0.26174
551,0.261701
550,0.261398
549,0.261102
548,0.260875
547,0.260167
546,0.259828
545,0.259544
544,0.259002
543,0.258667
542,0.258448
541,0.257879
540,0.257585
539,0.257374
538,0.257146
537,0.256999
536,0.256951
535,0.256703
534,0.256666
533,0.256636
532,0.256484
531,0.256531
530,0.256516
529,0.256218
528,0.256104
527,0.256024
526,0.255695
525,0.255479
524,0.255152
523,0.254574
522,0.254056
521,0.25349
520,0.252602
519,0.25178
518,0.25092
517,0.24973
516,0.248622
515,0.247361
514,0.245846
513,0.2444
512,0.242834
511,0.241173
510,0.239546
509,0.237878
508,0.235867
507,0.23408
506,0.232329
505,0.230241
504,0.228392
503,0.22649
502,0.224379
501,0.222524
500,0.220573
499,0.218519
498,0.216608
497,0.214706
496,0.212674
495,0.210781
494,0.208896
493,0.206931
492,0.204982
491,0.203007
490,0.200975
489,0.199065
488,0.197133
487,0.1951
486,0.193113
485,0.19094
484,0.18874
483,0.186744
482,0.184681
481,0.182611
480,0.180483
479,0.178171
478,0.175806
477,0.173577
476,0.171299
475,0.168872
474,0.166689
473,0.164442
472,0.162029
471,0.159776
470,0.157449
469,0.155074
468,0.15293
467,0.150762
466,0.148436
465,0.146367
464,0.144306
463,0.142093
462,0.14006
461,0.137928
460,0.135821
459,0.133921
458,0.131847
457,0.129811
456,0.127982
455,0.126085
454,0.124117
453,0.122216
452,0.120292
451,0.118381
450,0.11663
449,0.114813
448,0.112892
447,0.111303
446,0.109681
445,0.107849
444,0.106226
443,0.104458
442,0.102723
441,0.101126
440,0.0995
439,0.097884
438,0.096505
437,0.09495
436,0.093389
435,0.091894
434,0.090359
433,0.088967
432,0.087681
431,0.086259
430,0.084811
429,0.083481
428,0.082138
427,0.080883
426,0.079747
425,0.078347
424,0.077005
423,0.075791
422,0.074534
421,0.07335
420,0.07233
419,0.071115
418,0.069852
417,0.068685
416,0.067613
415,0.066492
414,0.06549
413,0.064377
412,0.06333
411,0.062307
410,0.06133
409,0.060181
408,0.059284
407,0.058195
406,0.057306
405,0.056292
404,0.05544
403,0.054515
402,0.053593
401,0.052675
400,0.051617
399,0.050795
398,0.050001
397,0.04914
396,0.048408
395,0.047726
394,0.046652
393,0.045841
392,0.045
391,0.044182
390,0.043621
389,0.042639
388,0.041894
387,0.041184
386,0.04044
385,0.03974
384,0.039156
383,0.038346
382,0.037473
381,0.036811
380,0.036295
379,0.035572
378,0.035216
377,0.03461
376,0.03381
375,0.033242
374,0.032976
373,0.032287
372,0.031651
371,0.031061
370,0.03037
369,0.029907
368,0.029218
367,0.028708
366,0.028146
365,0.02757
364,0.026949
363,0.026623
362,0.026058
361,0.025268
360,0.025084
359,0.024564
358,0.023967
357,0.023491
356,0.023081
355,0.022394
354,0.022168
353,0.02155
352,0.021084
351,0.02065
350,0.020043
